málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;ráðstafanir í ríkisfjármálum;Samþykkt sem lög frá Alþingi.;4:27:00;
2;meðferð einkamála;Samþykkt sem lög frá Alþingi.;5:40:00;
3;stjórn fiskveiða;Samþykkt sem lög frá Alþingi.;0:49:00;
4;stjórn fiskveiða o.fl.;Samþykkt sem lög frá Alþingi.;1:25:00;
5;stjórnarskipunarlög;Samþykkt sem lög frá Alþingi.;3:18:00;
6;slysatryggingar almannatrygginga;Ekki útrætt á 142. þingi. (Var í nefnd eftir 1. umræðu.);0:02:00;
7;lífeyrisréttindi almannatrygginga og félagslegur stuðningur;Ekki útrætt á 142. þingi. (Var í nefnd eftir 1. umræðu.);0:00:00;
8;þjóðaratkvæðagreiðsla um framhald viðræðna um aðild Íslands að Evrópusambandinu;Ekki útrætt á 142. þingi. (Var í nefnd eftir fyrri umræðu.);;
9;aðgerðir vegna skuldavanda heimila á Íslandi;Samþykkt sem ályktun Alþingis.;6:54:00;
10;stofnun og tilgangur ríkisolíufélags;Fyrirspurninni var svarað munnlega.;;
11;Ríkisútvarpið, fjölmiðill í almannaþágu;Samþykkt sem lög frá Alþingi.;5:44:00;
12;frestun á innheimtuaðgerðum og nauðungarsölum;Ekki útrætt á 142. þingi. (Var í nefnd eftir fyrri umræðu.);0:15:00;
13;verðtryggð námslán;Fyrirspurninni var svarað munnlega.;;
14;Hagstofa Íslands;Samþykkt sem lög frá Alþingi.;12:21:00;
15;veiðigjöld;Samþykkt sem lög frá Alþingi.;17:10:00;
16;málefni sparisjóða;Fyrirspurninni var svarað skriflega.;;
17;merking á vörum frá hernumdum svæðum Palestínu;Ekki útrætt á 142. þingi. (Beið fyrri umræðu.);;
18;aðskilnaður viðskiptabanka og fjárfestingarbanka;Ekki útrætt á 142. þingi. (Beið fyrri umræðu.);;
19;efling heilbrigðisþjónustu, menntakerfis og velferðarþjónustu;Ekki útrætt á 142. þingi. (Beið fyrri umræðu.);;
20;Seðlabanki Íslands;Samþykkt sem lög frá Alþingi.;5:28:00;
21;kostnaður við fjölgun ráðherra;Fyrirspurninni var svarað skriflega.;;
22;Bjargráðasjóður;Ekki útrætt á 142. þingi. (Beið 1. umræðu.);;
23;framtíð Fisktækniskóla Íslands;Fyrirspurninni var svarað munnlega.;;
24;afsláttur af veiðigjöldum;Fyrirspurninni var svarað skriflega.;;
25;óundirbúinn fyrirspurnatími;;5:15:00;
26;neytendalán;Samþykkt sem lög frá Alþingi.;;
27;IPA-styrkir;Fyrirspurninni var svarað skriflega.;;
28;jöfnuður í ríkisfjármálum;;;
29;breytingar á stjórnarskrá;;;
30;aðildarviðræður við ESB;;0:05:00;
31;örorkumat;;;
32;staða aðildarviðræðna við ESB;;;
33;veiting ríkisborgararéttar;Ekki útrætt á 142. þingi. (Beið 1. umræðu.);;
34;sóknargjöld;Fyrirspurninni var svarað skriflega.;;
35;Landsvirkjun og rammaáætlun;;;
36;viðbrögð við skuldavanda einstaklinga með lán með veði í eign þriðja aðila;Ekki útrætt á 142. þingi. (Var í nefnd eftir 1. umræðu.);;
37;kaltjón og harðindi á Norður- og Austurlandi;;0:15:00;
38;staða þjóðmenningar og menningarmála almennt í stjórnskipuninni;;;
39;óundirbúinn fyrirspurnatími;;;
40;bráðaaðgerðir til að efla leigumarkað á Íslandi;Ekki útrætt á 142. þingi. (Var í nefnd eftir fyrri umræðu.);0:03:00;
41;atvinnu- og orkustefna ríkisstjórnarinnar;;;
42;Landhelgisgæslan og sjúkraflug;Fyrirspurninni var ekki svarað.;;
43;veiðigjöld;Fyrirspurninni var ekki svarað.;;
44;hlutdeild sveitarfélaga í veiðigjaldi og tekjum af orkuauðlindum;Ekki útrætt á 142. þingi. (Var í nefnd eftir fyrri umræðu.);0:10:00;
45;fangelsismál;Fyrirspurninni var ekki svarað.;;
46;erlendir ríkisborgarar í íslenskum fangelsum;Fyrirspurninni var ekki svarað.;;
47;rafrænt eftirlit með föngum;Fyrirspurninni var ekki svarað.;;
48;skyldutrygging lífeyrisréttinda og starfsemi lífeyrissjóða;Samþykkt sem lög frá Alþingi.;1:29:00;
49;lengd námstíma í framhaldsskólum;Fyrirspurninni var ekki svarað.;;
50;álversframkvæmdir í Helguvík;Fyrirspurninni var svarað skriflega.;;
51;jöfnuður í ríkisfjármálum;;;
52;hallalaus fjárlög;;;
53;launakjör kandídata á Landspítalanum;;;
54;gjaldfrjálsar tannlækningar;;;
55;hvalaskoðun;;;
