málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2014;Samþykkt sem lög frá Alþingi.;2 days, 16:55:00;
2;tekjuaðgerðir fjárlagafrumvarps 2014;Samþykkt sem lög frá Alþingi.;7:26:00;
3;ýmsar forsendur fjárlagafrumvarps 2014;Samþykkt sem lög frá Alþingi.;10:43:00;
4;stimpilgjald;Samþykkt sem lög frá Alþingi.;3:56:00;
5;bráðaaðgerðir til að efla leigumarkað á Íslandi;Vísað til ríkisstjórnar.;3:43:00;
6;leikskóli að loknu fæðingarorlofi;Samþykkt sem ályktun Alþingis.;1:43:00;
7;mótun stefnu í gjaldmiðilsmálum;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);0:03:00;
8;endurskoðun stjórnarskrár lýðveldisins Íslands;Ekki útrætt á 143. þingi. (Var í nefnd eftir fyrri umræðu.);;
9;greiðsluþjónusta;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);1:22:00;
10;endurnýjun og uppbygging Landspítala;Samþykkt sem ályktun Alþingis.;4:43:00;
11;viðbrögð við skuldavanda einstaklinga með lán með veði í eign þriðja aðila;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);0:45:00;
12;miðlun upplýsinga og vernd uppljóstrara;Ekki útrætt á 143. þingi. (Var í nefnd eftir 1. umræðu.);;
13;þjóðfáni Íslendinga og ríkisskjaldarmerkið;Vísað til ríkisstjórnar.;2:16:00;
14;óundirbúinn fyrirspurnatími;;0:00:00;
15;tekjuskattur;Vísað til ríkisstjórnar.;2:22:00;
16;staða bankakerfisins;;0:05:00;
17;efnahagsmál;;2:47:00;
18;óskráðar íbúðir sem leigðar eru ferðamönnum;;3:06:00;
19;atvinnustefna og samráð;;0:20:00;
20;framlagning lyklafrumvarps;;0:18:00;
21;laun forseta Íslands;Ekki útrætt á 143. þingi. (Beið 1. umræðu.);;
22;lögfesting Norðurlandasamnings um almannatryggingar;Samþykkt sem lög frá Alþingi.;0:49:00;
23;geislavarnir;Samþykkt sem lög frá Alþingi.;2:37:00;
24;óundirbúinn fyrirspurnatími;;6:53:00;
25;veiðigjöld;Fyrirspurninni var svarað skriflega.;;
26;brunavarnagjald og stuðningur við sveitarfélög;Fyrirspurninni var svarað skriflega.;;
27;framkvæmdir við Landspítala við Hringbraut;Fyrirspurninni var svarað skriflega.;;
28;staða Landspítalans;;3:15:00;
29;stuðningur við fjárlagafrumvarpið;;1:07:00;
30;stefna ríkisstjórnarinnar í loftslagsmálum;;;
31;fæðingarorlofssjóður;;;
