málsnúmer;málsheiti;staða máls;heildartími;nefndir
1;fjárlög 2018;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
2;breyting á ýmsum lögum vegna fjárlaga 2018;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
3;virðisaukaskattur o.fl.;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
4;gjald af áfengi og tóbaki;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
5;stefna í efnahags- og félagsmálum;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
6;skilyrðislaus grunnframfærsla;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
7;stuðningur til kaupa á fyrstu íbúð;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
8;veiting ríkisborgararéttar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
9;minning tveggja alda afmælis Jóns Árnasonar;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
10;almenn hegningarlög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
11;úttekt á starfsemi fjölmiðla utan höfuðborgarsvæðisins og leiðir til að tryggja stöðu þeirra;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
12;rannsókn á ástæðum og áhrifum fátæktar í íslensku samfélagi;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
13;ársreikningar og hlutafélög;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
14;fæðingar- og foreldraorlof;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
15;viðbrögð við nýrri tæknibyltingu;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
16;tekjuskattur;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
17;trygging gæða, hagkvæmni og skilvirkni opinberra fjárfestinga;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
18;þolmörk í ferðaþjónustu;;;
19;stefnumörkun og aðgerðaáætlun um kolefnishlutlaust Ísland;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
20;ábendingar í rannsóknarskýrslum Alþingis;;;
21;vextir og verðtrygging o.fl;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
22;sjúkratryggingar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
23;Alexandersflugvöllur sem varaflugvöll fyrir Keflavíkur-, Reykjavíkur- og Akureyrarflugvöll;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
24;framleiðsla, sala og meðferð kannabisefna;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
25;útlendingar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
26;aðdragandi að útgáfu á starfsleyfi til kísilverksmiðju Sameinaðs sílikons hf. í Helguvík o.fl.;;;
27;fjárfestar og Keflavíkurflugvöllur;Fyrirspurninni var ekki svarað.;;
28;brottfall úr framhaldsskólum;Fyrirspurninni var svarað skriflega.;;
29;Lánasjóður íslenskra námsmanna;Fyrirspurninni var svarað skriflega.;;
30;stuðningur við námsmannaíbúðir;Fyrirspurninni var svarað skriflega.;;
31;þróun lántöku til skólagjalda;Fyrirspurninni var svarað skriflega.;;
32;bygging íbúða;Fyrirspurninni var svarað skriflega.;;
33;heildarlöggjöf fyrir almannaheillafélög;Fyrirspurninni var ekki svarað.;;
34;dagvistunarúrræði og vinnumarkaður;Fyrirspurninni var svarað skriflega.;;
35;fullgilding viðauka við samning um réttindi fatlaðs fólks;Fyrirspurninni var svarað skriflega.;;
36;vistun barna með fötlun;Fyrirspurninni var svarað skriflega.;;
37;vestnorrænt samstarf;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
38;friðlýsing Íslands fyrir kjarnorkuvopnum og bann við umferð kjarnorkuknúinna farartækja;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
39;útlendingar;Ekki útrætt á 147. þingi. (Beið 1. umræðu.);;
40;rafræn birting álagningarskrár;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
41;endurskoðun á beitingu Dyflinnarreglugerðarinnar;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
42;hagvísar menningar og skapandi greina;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
43;starfshópur um útgáfu öruggra opinberra skilríkja;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
44;kjötrækt;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
45;samningur Sameinuðu þjóðanna um bann við kjarnorkuvopnum;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
46;úttekt á stofnun vestnorrænna eftirskóla;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
47;ráðstefna um stöðu Íslands, Færeyja og Grænlands í nýjum veruleika alþjóðastjórnmála;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
48;mótun eigendastefnu ríkisins fyrir bújarðir;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
49;skipting útsvarstekna milli sveitarfélaga;Ekki útrætt á 147. þingi. (Beið fyrri umræðu.);;
50;kostnaður Vegagerðarinnar við fjárfrekar nýframkvæmdir og viðhald;Fyrirspurninni var ekki svarað.;;
51;aðgangur að rafrænni þjónustu hins opinbera;Fyrirspurninni var ekki svarað.;;
52;meðalhraðaeftirlit;Fyrirspurninni var ekki svarað.;;
53;mansalsmál;Fyrirspurninni var svarað skriflega.;;
54;aðgangur að heilbrigðisgáttinni Heilsuveru;Fyrirspurninni var svarað skriflega.;;
55;ferjusiglingar;Fyrirspurninni var ekki svarað.;;
56;Menntamálastofnun og útgáfu námsefnis;Fyrirspurninni var svarað skriflega.;;
57;úrræði fyrir börn með alvarlegan hegðunar- og tilfinningavanda;Fyrirspurninni var ekki svarað.;;
